accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.4772727272727273,0.3484848484848485,0.3666666666666667,0.4727272727272727,0.1825525040387722,0.5668931389251366,Demo+LogReg,6,173,44
0.38636363636363635,0.4630681818181818,0.38666666666666666,0.37212121212121213,0.20588235294117652,0.693320767483447,Tucker+Demo+MLP,6,173,44
0.5,0.25,0.16666666666666666,0.3333333333333333,0.0,0.5,Dummy(cogunluk),6,173,44
0.4186046511627907,0.4878246753246753,0.4190045248868779,0.4123750394612228,0.24135497529992955,0.7387016887016886,Tucker+MLP,7,174,43
0.37209302325581395,0.4650974025974026,0.3765950824774354,0.3485838779956427,0.20533880903490775,0.7170279045279044,Tucker(arinmis)+MLP,7,174,43
0.5116279069767442,0.4094967532467533,0.39680262348841977,0.5240017731426093,0.28616600790513835,0.6868995212745213,Demo+LogReg,7,174,43
0.32558139534883723,0.44832251082251073,0.36385836385836384,0.2854303319419598,0.15457627118644068,0.7177723177723179,Tucker+Demo+MLP,7,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),7,174,43
0.27906976744186046,0.2715097402597403,0.2534181240063593,0.2904425629459829,-0.0075585789871503994,0.5681983931983932,Tucker+MLP,8,174,43
0.27906976744186046,0.29734848484848486,0.25616883116883116,0.279009362730293,0.011860637509266136,0.4982581607581608,Tucker(arinmis)+MLP,8,174,43
0.4883720930232558,0.4329004329004329,0.373202614379085,0.4491260069919441,0.22011541632316578,0.7096349596349596,Demo+LogReg,8,174,43
0.27906976744186046,0.3157467532467533,0.2795576563958917,0.2784563437778212,0.015509601181683985,0.5635459322959323,Tucker+Demo+MLP,8,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),8,174,43
0.3953488372093023,0.39745670995670995,0.37539682539682534,0.4132152085640458,0.17307692307692313,0.6382909695409695,Tucker+MLP,9,174,43
0.4418604651162791,0.3346861471861472,0.34803239562478083,0.4377323588761386,0.12020460358056273,0.6320797258297258,Tucker(arinmis)+MLP,9,174,43
0.46511627906976744,0.3181818181818182,0.2568027210884354,0.4015187470336972,0.1437229437229437,0.5998875092625093,Demo+LogReg,9,174,43
0.32558139534883723,0.3722943722943723,0.3285443209541881,0.33193592515776005,0.11872791519434645,0.6551787176787177,Tucker+Demo+MLP,9,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),9,174,43
0.25,0.2591991341991342,0.23417075163398693,0.2603052584670232,0.0006882312456983897,0.5884495249925872,Tucker+MLP,10,173,44
0.29545454545454547,0.25162337662337664,0.2449217449217449,0.3048693730511913,-0.006642066420664117,0.5451037526994464,Tucker(arinmis)+MLP,10,173,44
0.4090909090909091,0.33026695526695526,0.32361111111111107,0.4013888888888889,0.1041503523884103,0.5115404765823426,Demo+LogReg,10,173,44
0.11363636363636363,0.20833333333333334,0.05434782608695652,0.029644268774703556,-0.041894353369763104,0.5675763612366482,Tucker+Demo+MLP,10,173,44
0.5,0.25,0.16666666666666666,0.3333333333333333,0.0,0.5,Dummy(cogunluk),10,173,44
0.3181818181818182,0.3693181818181818,0.32166566985645934,0.3151886689865159,0.0971272229822161,0.605809893190276,Tucker+MLP,11,173,44
0.2727272727272727,0.29640151515151514,0.2671802054154995,0.27577455224514047,0.018131101813110284,0.5573939907447683,Tucker(arinmis)+MLP,11,173,44
0.5227272727272727,0.46212121212121204,0.43333333333333335,0.5242424242424243,0.3063063063063063,0.713269998127205,Demo+LogReg,11,173,44
0.22727272727272727,0.28409090909090906,0.24021739130434785,0.22015810276679842,-0.004026845637584042,0.6171014118457301,Tucker+Demo+MLP,11,173,44
0.5,0.25,0.16666666666666666,0.3333333333333333,0.0,0.5,Dummy(cogunluk),11,173,44
0.32558139534883723,0.35836038961038963,0.3310924369747899,0.3369552472151651,0.08173784977908694,0.6619461994461995,Tucker+MLP,12,174,43
0.37209302325581395,0.37067099567099565,0.3533613445378151,0.39386359194840725,0.14127218934911245,0.6087191899691899,Tucker(arinmis)+MLP,12,174,43
0.46511627906976744,0.39867424242424243,0.3373938722775932,0.4409419076806854,0.2068965517241379,0.613223206973207,Demo+LogReg,12,174,43
0.3953488372093023,0.40787337662337664,0.3801669316375199,0.403358043405923,0.15558912386706947,0.671585059085059,Tucker+Demo+MLP,12,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),12,174,43
0.32558139534883723,0.41301406926406925,0.36121942573555477,0.31756840308978346,0.11371712864250194,0.681169074919075,Tucker+MLP,13,174,43
0.27906976744186046,0.3704004329004329,0.3204150688021656,0.2664991422680845,0.053267045454545525,0.6523031960531961,Tucker(arinmis)+MLP,13,174,43
0.5348837209302325,0.3418560606060606,0.3009615384615385,0.47280858676207516,0.24095322153574572,0.6274102024102024,Demo+LogReg,13,174,43
0.4418604651162791,0.520021645021645,0.45442927170868347,0.43387075760536775,0.24395604395604398,0.7254697067197068,Tucker+Demo+MLP,13,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),13,174,43
0.46511627906976744,0.41612554112554107,0.4069444444444444,0.4768733850129198,0.2237048665620095,0.6351346476346476,Tucker+MLP,14,174,43
0.37209302325581395,0.3905573593073593,0.3611336032388664,0.37977591563882873,0.13936249073387696,0.6235942923442924,Tucker(arinmis)+MLP,14,174,43
0.4186046511627907,0.2591991341991342,0.24714536671058412,0.3993728998784611,0.09663865546218497,0.6039101195351195,Demo+LogReg,14,174,43
0.46511627906976744,0.4707792207792208,0.4455518018018018,0.48333857112926887,0.25527108433734946,0.7243067743067744,Tucker+Demo+MLP,14,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),14,174,43
