accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.7857142857142857,0.7424242424242424,0.7142857142857142,0.7959183673469388,0.43243243243243246,0.7727272727272727,Tucker+Demo+MLP,6,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),6,112,28
0.6428571428571429,0.5303030303030303,0.5238095238095237,0.6598639455782312,0.05405405405405406,0.5757575757575757,Tucker+MLP,7,112,28
0.5357142857142857,0.5227272727272727,0.4822190611664296,0.5773216825848405,0.031914893617021156,0.6363636363636365,Tucker(arinmis)+MLP,7,112,28
0.7142857142857143,0.5757575757575758,0.5757575757575758,0.7142857142857143,0.1515151515151515,0.5909090909090909,Demo+LogReg,7,112,28
0.6428571428571429,0.6515151515151515,0.5906432748538011,0.6741854636591479,0.2222222222222222,0.7348484848484849,Tucker+Demo+MLP,7,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),7,112,28
0.75,0.6590909090909092,0.6493738819320215,0.7567084078711986,0.30000000000000004,0.6742424242424243,Tucker+MLP,8,112,28
0.6785714285714286,0.6742424242424242,0.6199095022624435,0.7052359405300582,0.2674418604651162,0.7424242424242424,Tucker(arinmis)+MLP,8,112,28
0.7142857142857143,0.6363636363636364,0.6190476190476191,0.727891156462585,0.2432432432432432,0.7196969696969697,Demo+LogReg,8,112,28
0.5714285714285714,0.5454545454545454,0.5087719298245614,0.6090225563909775,0.06666666666666665,0.6439393939393939,Tucker+Demo+MLP,8,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),8,112,28
0.5714285714285714,0.5454545454545454,0.5087719298245614,0.6090225563909775,0.06666666666666665,0.5681818181818181,Tucker+MLP,9,112,28
0.6785714285714286,0.6136363636363636,0.5902439024390245,0.6989547038327526,0.1923076923076923,0.5454545454545454,Tucker(arinmis)+MLP,9,112,28
0.75,0.7803030303030303,0.7043740573152337,0.770739064856712,0.43023255813953487,0.8674242424242424,Demo+LogReg,9,112,28
0.6071428571428571,0.5681818181818181,0.5354449472096531,0.6397328162034045,0.10465116279069764,0.49242424242424243,Tucker+Demo+MLP,9,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),9,112,28
0.6785714285714286,0.6136363636363636,0.5902439024390245,0.6989547038327526,0.1923076923076923,0.696969696969697,Tucker+MLP,10,112,28
0.4642857142857143,0.4772727272727273,0.42857142857142855,0.5102040816326531,-0.02941176470588225,0.5909090909090908,Tucker(arinmis)+MLP,10,112,28
0.75,0.7803030303030303,0.7043740573152337,0.770739064856712,0.43023255813953487,0.7689393939393939,Demo+LogReg,10,112,28
0.7142857142857143,0.6363636363636364,0.6190476190476191,0.727891156462585,0.2432432432432432,0.8333333333333334,Tucker+Demo+MLP,10,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),10,112,28
0.75,0.6590909090909092,0.6493738819320215,0.7567084078711986,0.30000000000000004,0.5681818181818182,Tucker+MLP,11,112,28
