accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,repeat,split,n_train,n_test,mpca_explained,mpca_recon_err_test,mpca_fit_sec
0.5714285714285714,0.45999999999999996,0.4582043343653251,0.5643520566121185,-0.08247422680412364,0.46,Dummy,4,0,4,140,35,,,
0.5714285714285714,0.45999999999999996,0.4582043343653251,0.5643520566121185,-0.08247422680412364,0.46,Dummy,5,1,0,140,35,,,
0.6285714285714286,0.47,0.4484848484848485,0.5835497835497836,-0.07058823529411762,0.47000000000000003,Dummy,6,1,1,140,35,,,
0.5714285714285714,0.52,0.5143385753931544,0.5857010704374257,0.03669724770642213,0.5199999999999999,Dummy,7,1,2,140,35,,,
0.6285714285714286,0.56,0.5578231292517006,0.6336248785228378,0.11650485436893199,0.56,Dummy,8,1,3,140,35,,,
0.7142857142857143,0.59,0.5949074074074074,0.6891534391534392,0.2045454545454547,0.5900000000000001,Dummy,9,1,4,140,35,,,
0.5714285714285714,0.52,0.5143385753931544,0.5857010704374257,0.03669724770642213,0.5199999999999999,Dummy,10,2,0,140,35,,,
0.7428571428571429,0.64,0.6503884572697003,0.7274456952592359,0.3076923076923077,0.64,Dummy,11,2,1,140,35,,,
0.6,0.51,0.51,0.6,0.020000000000000018,0.51,Dummy,12,2,2,140,35,,,
0.5714285714285714,0.52,0.5143385753931544,0.5857010704374257,0.03669724770642213,0.5199999999999999,Dummy,13,2,3,140,35,,,
0.6857142857142857,0.6599999999999999,0.6438482886216466,0.6961807849874455,0.29357798165137616,0.6599999999999999,Dummy,14,2,4,140,35,,,
