accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,repeat,split,n_train,n_test,mpca_explained,mpca_recon_err_test,mpca_fit_sec
0.6511627906976745,0.6515151515151515,0.6511627906976745,0.6511627906976745,0.3027027027027027,0.6991341991341992,Voxel-MLP,18,3,3,174,43,,,
0.5581395348837209,0.5551948051948051,0.5493656922228352,0.5508279993329828,0.11099020674646354,0.6147186147186147,Voxel-MLP,19,3,4,174,43,,,
0.5681818181818182,0.5681818181818182,0.5393939393939394,0.5393939393939394,0.13636363636363635,0.5516528925619835,Voxel-MLP,20,4,0,173,44,,,
0.7045454545454546,0.7045454545454546,0.7043927648578812,0.7043927648578812,0.40909090909090906,0.7024793388429752,Voxel-MLP,21,4,1,173,44,,,
0.6046511627906976,0.606060606060606,0.6037940379403794,0.6033654755152202,0.21143473570658045,0.6082251082251082,Voxel-MLP,22,4,2,174,43,,,
0.46511627906976744,0.461038961038961,0.4459383753501401,0.44833561331509353,-0.07851690294438374,0.44372294372294374,Voxel-MLP,23,4,3,174,43,,,
0.6976744186046512,0.6948051948051948,0.6916712630998345,0.6926717890173041,0.3917301414581067,0.6688311688311688,Voxel-MLP,24,4,4,174,43,,,
0.4772727272727273,0.4772727272727273,0.47483134405812144,0.4748313440581214,-0.045454545454545414,0.4772727272727273,Dummy,0,0,0,173,44,,,
0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.09090909090909094,0.5454545454545454,Dummy,1,0,1,173,44,,,
0.4883720930232558,0.4880952380952381,0.4880952380952381,0.4883720930232558,-0.023809523809523947,0.48809523809523814,Dummy,2,0,2,174,43,,,
0.46511627906976744,0.4632034632034632,0.4604473540643753,0.4616145853157233,-0.07383279044516833,0.4632034632034632,Dummy,3,0,3,174,43,,,
0.4418604651162791,0.43939393939393934,0.4342105263157895,0.4357405140758874,-0.12173913043478257,0.43939393939393934,Dummy,4,0,4,174,43,,,
0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.18181818181818177,0.5909090909090908,Dummy,5,1,0,173,44,,,
0.6363636363636364,0.6363636363636364,0.6333333333333333,0.6333333333333333,0.2727272727272727,0.6363636363636364,Dummy,6,1,1,173,44,,,
0.4883720930232558,0.4902597402597403,0.48586956521739133,0.48503538928210316,-0.0193965517241379,0.49025974025974023,Dummy,7,1,2,174,43,,,
0.6046511627906976,0.606060606060606,0.6037940379403794,0.6033654755152202,0.21143473570658045,0.606060606060606,Dummy,8,1,3,174,43,,,
0.6511627906976745,0.6504329004329004,0.6504065040650406,0.6507846473813576,0.30119176598049835,0.6504329004329005,Dummy,9,1,4,174,43,,,
0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,-0.18181818181818188,0.4090909090909091,Dummy,10,2,0,173,44,,,
0.5227272727272727,0.5227272727272727,0.5224806201550387,0.5224806201550387,0.045454545454545414,0.5227272727272727,Dummy,11,2,1,173,44,,,
0.3953488372093023,0.3917748917748918,0.3788888888888889,0.3812403100775193,-0.21786492374727673,0.3917748917748918,Dummy,12,2,2,174,43,,,
0.5116279069767442,0.5119047619047619,0.5116279069767442,0.5116279069767442,0.023783783783783874,0.5119047619047619,Dummy,13,2,3,174,43,,,
0.5348837209302325,0.5357142857142857,0.5346320346320346,0.5343803483338367,0.07127429805615548,0.5357142857142857,Dummy,14,2,4,174,43,,,
0.5227272727272727,0.5227272727272727,0.5204981837052414,0.5204981837052413,0.045454545454545414,0.5227272727272727,Dummy,15,3,0,173,44,,,
0.5227272727272727,0.5227272727272727,0.5164835164835164,0.5164835164835165,0.045454545454545414,0.5227272727272727,Dummy,16,3,1,173,44,,,
0.6046511627906976,0.6028138528138528,0.6012002182214948,0.6020629543637955,0.2062975027144408,0.6028138528138529,Dummy,17,3,2,174,43,,,
0.627906976744186,0.6266233766233766,0.6260869565217391,0.6266936299292214,0.2537960954446854,0.6266233766233766,Dummy,18,3,3,174,43,,,
0.5116279069767442,0.5108225108225108,0.5105691056910568,0.5110985063339005,0.021668472372697756,0.5108225108225107,Dummy,19,3,4,174,43,,,
0.4318181818181818,0.4318181818181818,0.42916450441100157,0.42916450441100157,-0.13636363636363646,0.4318181818181819,Dummy,20,4,0,173,44,,,
0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,-0.09090909090909083,0.4545454545454546,Dummy,21,4,1,173,44,,,
0.4883720930232558,0.48484848484848486,0.47444444444444445,0.47643410852713175,-0.030501089324618702,0.4848484848484848,Dummy,22,4,2,174,43,,,
0.5581395348837209,0.5551948051948051,0.5493656922228352,0.5508279993329828,0.11099020674646354,0.5551948051948052,Dummy,23,4,3,174,43,,,
0.3488372093023256,0.34523809523809523,0.33111111111111113,0.33364341085271315,-0.31154684095860574,0.34523809523809523,Dummy,24,4,4,174,43,,,
