accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.8,0.71,0.7280799112097669,0.7880133185349611,0.46153846153846156,0.64,Tucker+Demo+MLP,3,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),3,140,35
0.7428571428571429,0.76,0.72,0.7542857142857142,0.4521739130434782,0.8240000000000001,Tucker+MLP,4,140,35
0.5142857142857142,0.63,0.5142857142857142,0.5142857142857142,0.17931034482758623,0.756,Tucker(arinmis)+MLP,4,140,35
0.6571428571428571,0.6699999999999999,0.6328671328671329,0.6733266733266733,0.288135593220339,0.72,Demo+LogReg,4,140,35
0.7428571428571429,0.76,0.72,0.7542857142857142,0.4521739130434782,0.8280000000000001,Tucker+Demo+MLP,4,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),4,140,35
0.7428571428571429,0.6699999999999999,0.6749226006191951,0.738611233967271,0.35051546391752575,0.8280000000000001,Tucker+MLP,5,140,35
0.8285714285714286,0.73,0.7569444444444444,0.8134920634920635,0.5227272727272727,0.804,Tucker(arinmis)+MLP,5,140,35
0.6857142857142857,0.63,0.6258503401360545,0.6899902818270166,0.2524271844660194,0.73,Demo+LogReg,5,140,35
0.8,0.77,0.7619047619047619,0.8027210884353742,0.5242718446601942,0.852,Tucker+Demo+MLP,5,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),5,140,35
0.6857142857142857,0.6000000000000001,0.6026831785345717,0.6805248415155536,0.20618556701030932,0.6679999999999999,Tucker+MLP,6,140,35
0.6571428571428571,0.5800000000000001,0.5800000000000001,0.6571428571428571,0.16000000000000003,0.524,Tucker(arinmis)+MLP,6,140,35
0.7142857142857143,0.71,0.6829710144927537,0.7256728778467908,0.375,0.6759999999999999,Demo+LogReg,6,140,35
0.6571428571428571,0.5800000000000001,0.5800000000000001,0.6571428571428571,0.16000000000000003,0.62,Tucker+Demo+MLP,6,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),6,140,35
0.7714285714285715,0.78,0.7463768115942029,0.7805383022774326,0.5,0.796,Tucker+MLP,7,140,35
0.7428571428571429,0.7,0.6938775510204082,0.7463556851311953,0.38834951456310673,0.716,Tucker(arinmis)+MLP,7,140,35
0.6857142857142857,0.63,0.6258503401360545,0.6899902818270166,0.2524271844660194,0.8039999999999999,Demo+LogReg,7,140,35
0.7142857142857143,0.74,0.6940559440559441,0.7277722277722277,0.4067796610169492,0.764,Tucker+Demo+MLP,7,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),7,140,35
0.7428571428571429,0.6699999999999999,0.6749226006191951,0.738611233967271,0.35051546391752575,0.7759999999999999,Tucker+MLP,8,140,35
0.8,0.74,0.7471620227038184,0.7966976264189888,0.4948453608247423,0.632,Tucker(arinmis)+MLP,8,140,35
0.7428571428571429,0.76,0.72,0.7542857142857142,0.4521739130434782,0.8039999999999999,Demo+LogReg,8,140,35
0.8,0.74,0.7471620227038184,0.7966976264189888,0.4948453608247423,0.8,Tucker+Demo+MLP,8,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),8,140,35
0.7142857142857143,0.77,0.7023809523809523,0.727891156462585,0.435483870967742,0.828,Tucker+MLP,9,140,35
0.6857142857142857,0.72,0.6683893195521102,0.7008736311061893,0.36363636363636365,0.788,Tucker(arinmis)+MLP,9,140,35
0.6571428571428571,0.7,0.6428571428571428,0.673469387755102,0.32258064516129037,0.808,Demo+LogReg,9,140,35
0.6857142857142857,0.72,0.6683893195521102,0.7008736311061893,0.36363636363636365,0.804,Tucker+Demo+MLP,9,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),9,140,35
0.7714285714285715,0.75,0.7348484848484849,0.7770562770562771,0.4716981132075472,0.804,Tucker+MLP,10,140,35
0.6,0.66,0.5916666666666667,0.6166666666666666,0.24615384615384617,0.7160000000000001,Tucker(arinmis)+MLP,10,140,35
0.7142857142857143,0.6799999999999999,0.668560606060606,0.7213203463203463,0.3396226415094339,0.732,Demo+LogReg,10,140,35
0.8,0.74,0.7471620227038184,0.7966976264189888,0.4948453608247423,0.812,Tucker+Demo+MLP,10,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),10,140,35
0.7428571428571429,0.7,0.6938775510204082,0.7463556851311953,0.38834951456310673,0.76,Tucker+MLP,11,140,35
0.5714285714285714,0.5800000000000001,0.5478036175710594,0.5921004060538944,0.1322314049586777,0.556,Tucker(arinmis)+MLP,11,140,35
0.5428571428571428,0.53,0.5104895104895105,0.5644355644355644,0.05084745762711862,0.634,Demo+LogReg,11,140,35
0.6571428571428571,0.64,0.6195652173913043,0.670807453416149,0.25,0.7,Tucker+Demo+MLP,11,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),11,140,35
0.7714285714285715,0.66,0.6759259259259259,0.7513227513227514,0.36363636363636376,0.7240000000000001,Tucker+MLP,12,140,35
