accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.627906976744186,0.6266233766233766,0.6260869565217391,0.6266936299292214,0.2537960954446854,0.7034632034632035,Tucker+Demo+MLP,4,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),4,174,43
0.5227272727272727,0.5227272727272727,0.5164835164835164,0.5164835164835165,0.045454545454545414,0.5950413223140496,Tucker+MLP,5,173,44
0.4772727272727273,0.4772727272727273,0.3230769230769231,0.3230769230769231,-0.045454545454545414,0.31611570247933884,Tucker(arinmis)+MLP,5,173,44
0.6590909090909091,0.6590909090909092,0.6502384737678856,0.6502384737678856,0.31818181818181823,0.6394628099173554,Demo+LogReg,5,173,44
0.5227272727272727,0.5227272727272727,0.4389799635701275,0.4389799635701275,0.045454545454545414,0.5888429752066116,Tucker+Demo+MLP,5,173,44
0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5,Dummy(cogunluk),5,173,44
0.4772727272727273,0.47727272727272724,0.4544474393530997,0.4544474393530997,-0.045454545454545414,0.45247933884297525,Tucker+MLP,6,173,44
0.5,0.5,0.45982142857142855,0.4598214285714285,0.0,0.46487603305785125,Tucker(arinmis)+MLP,6,173,44
0.6363636363636364,0.6363636363636364,0.6294736842105264,0.6294736842105263,0.2727272727272727,0.7117768595041323,Demo+LogReg,6,173,44
0.4318181818181818,0.4318181818181818,0.4315245478036176,0.43152454780361754,-0.13636363636363646,0.44008264462809915,Tucker+Demo+MLP,6,173,44
0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5,Dummy(cogunluk),6,173,44
0.5813953488372093,0.5800865800865801,0.5793478260869566,0.5800303336703742,0.16052060737527107,0.5346320346320346,Tucker+MLP,7,174,43
0.5813953488372093,0.5822510822510822,0.5811688311688312,0.5809423135004531,0.16414686825053992,0.5692640692640693,Tucker(arinmis)+MLP,7,174,43
0.627906976744186,0.6255411255411256,0.6228070175438596,0.623827009383925,0.25217391304347825,0.7088744588744588,Demo+LogReg,7,174,43
0.5813953488372093,0.5800865800865801,0.5793478260869566,0.5800303336703742,0.16052060737527107,0.5692640692640693,Tucker+Demo+MLP,7,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),7,174,43
0.4418604651162791,0.44805194805194803,0.4027777777777778,0.39922480620155043,-0.10256410256410242,0.44805194805194803,Tucker+MLP,8,174,43
0.627906976744186,0.6277056277056277,0.6277056277056277,0.627906976744186,0.2554112554112554,0.6255411255411255,Tucker(arinmis)+MLP,8,174,43
0.6511627906976745,0.6493506493506493,0.6481178396072014,0.6488790773798196,0.2996742671009772,0.7478354978354979,Demo+LogReg,8,174,43
0.4883720930232558,0.4956709956709957,0.4369047619047619,0.43294573643410844,-0.008528784648187626,0.4805194805194805,Tucker+Demo+MLP,8,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),8,174,43
0.5348837209302325,0.5357142857142857,0.5346320346320346,0.5343803483338367,0.07127429805615548,0.5324675324675324,Tucker+MLP,9,174,43
0.5348837209302325,0.5346320346320346,0.5346320346320346,0.5348837209302325,0.06926406926406925,0.5216450216450217,Tucker(arinmis)+MLP,9,174,43
0.7441860465116279,0.7445887445887446,0.7441860465116279,0.7441860465116279,0.48864864864864865,0.7532467532467532,Demo+LogReg,9,174,43
0.6046511627906976,0.6038961038961039,0.6037940379403794,0.6042226003655385,0.2080173347778982,0.5952380952380952,Tucker+Demo+MLP,9,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),9,174,43
0.5227272727272727,0.5227272727272727,0.38193979933110367,0.3819397993311037,0.045454545454545414,0.6425619834710744,Tucker+MLP,10,173,44
0.5227272727272727,0.5227272727272727,0.38193979933110367,0.3819397993311037,0.045454545454545414,0.5805785123966942,Tucker(arinmis)+MLP,10,173,44
0.5681818181818182,0.5681818181818181,0.5661650233523612,0.5661650233523612,0.13636363636363635,0.5960743801652892,Demo+LogReg,10,173,44
0.45454545454545453,0.45454545454545453,0.4358974358974359,0.4358974358974359,-0.09090909090909083,0.4814049586776859,Tucker+Demo+MLP,10,173,44
0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5,Dummy(cogunluk),10,173,44
0.6818181818181818,0.6818181818181819,0.681159420289855,0.6811594202898551,0.36363636363636365,0.6487603305785123,Tucker+MLP,11,173,44
0.5227272727272727,0.5227272727272727,0.5204981837052414,0.5204981837052413,0.045454545454545414,0.5702479338842975,Tucker(arinmis)+MLP,11,173,44
0.75,0.75,0.7488323819408407,0.7488323819408407,0.5,0.7820247933884297,Demo+LogReg,11,173,44
0.6136363636363636,0.6136363636363636,0.6134366925064599,0.6134366925064599,0.2272727272727273,0.6466942148760331,Tucker+Demo+MLP,11,173,44
